"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
81308.500000,101473.000000,52512.824219,64415.527344,51621.000000,81779.429688,283.019989,6828.530762,2716.239990,4.080301
55756.500000,75160.000000,48617.058594,60758.519531,47176.000000,84404.578125,48.059998,15070.085938,209.000000,4.080301
167391.500000,114317.000000,95962.710938,96826.656250,40429.000000,156957.421875,175.330002,2452.380615,4685.399902,4.081290
70040.000000,89433.000000,51324.917969,53781.808594,41581.000000,84765.750000,25.809999,33721.644531,50.160000,4.082278
122484.500000,135206.000000,59369.730469,90808.476563,64950.000000,91627.781250,526.880005,10756.041992,3210.239990,4.084256
67738.000000,79228.000000,56031.675781,113110.101563,80904.000000,91624.445313,65.860001,17367.552734,248.520004,4.084256
110503.500000,119027.000000,60842.980469,114741.468750,75607.000000,99457.687500,34.709999,0.000000,-6.080000,4.086234
194170.000000,133265.000000,95487.375000,128405.640625,65525.000000,128427.195313,1133.859985,21578.937500,3443.560059,4.088212
125319.500000,142727.000000,57543.000000,112297.531250,72775.000000,101127.195313,194.020004,3949.619385,3219.359863,4.089201
137015.500000,143716.000000,62480.503906,106130.718750,68976.000000,100837.726563,656.820007,11926.386719,3609.239990,4.089201
118915.000000,137561.000000,56652.785156,110627.890625,79869.000000,90775.007813,100.570000,1375.024170,4793.319824,4.090190
116614.500000,122880.000000,62194.398438,117790.609375,81236.000000,95025.921875,105.019997,5576.357910,1234.239990,4.090190
199775.500000,141391.000000,92597.734375,165454.562500,75387.000000,143834.218750,1004.809998,24263.798828,2713.959961,4.091179
129895.000000,131582.000000,64695.773438,86949.437500,59674.000000,95490.804688,1294.949951,27436.154297,3093.199951,4.091179
61589.500000,71257.000000,56644.671875,50595.609375,38669.000000,85749.148438,42.720001,5053.222656,554.039978,4.093156
79590.000000,102100.000000,51087.269531,41607.500000,33684.000000,80952.054688,19.580000,929.228394,1380.919922,4.094145
108048.500000,120417.000000,58804.546875,105938.476563,74757.000000,92871.359375,315.059998,5231.661621,3946.679932,4.095135
67733.500000,72383.000000,61326.320313,72758.390625,54831.000000,86963.468750,55.180000,15153.631836,238.639999,4.096124
115662.500000,132907.000000,57032.800781,68152.640625,47691.000000,93653.968750,217.160004,6628.665039,2147.000000,4.097112
112904.500000,127416.000000,58072.058594,83590.578125,56604.000000,96781.007813,113.029999,8008.807129,924.919983,4.099090
74234.500000,60502.000000,80411.101563,125764.117188,63606.000000,129580.179688,57.849998,19953.910156,190.000000,4.099090
100297.500000,112629.000000,58360.613281,75022.546875,52069.000000,94426.203125,1010.149963,23309.203125,2840.119873,4.100079
124349.500000,142905.000000,57026.472656,107194.265625,83497.000000,84135.765625,893.559998,11088.329102,5281.239746,4.100079
97661.000000,115176.000000,55569.835938,51566.597656,37496.000000,90128.773438,79.209999,3143.293701,1651.479980,4.104035
100667.500000,113348.000000,58204.335938,101216.140625,74452.000000,89095.007813,307.049988,10824.736328,1858.959961,4.104035
89583.000000,106183.000000,55290.503906,47306.167969,34547.000000,89740.265625,517.979980,14041.514648,2417.560059,4.105024
116052.500000,100220.000000,75889.218750,172385.875000,97624.000000,115724.421875,53.399998,7217.474121,484.880005,4.105024
115065.000000,132949.000000,56720.242188,61438.480469,42597.000000,94523.843750,46.279999,1680.329224,1805.000000,4.107001
208297.000000,134731.000000,101320.046875,151565.218750,61003.000000,162827.687500,253.649994,4392.961914,3784.040039,4.107001
84593.000000,87204.000000,63573.769531,134338.375000,84656.000000,103997.351563,49.840000,10088.651367,323.760010,4.107990
99159.000000,114014.000000,56997.250000,62249.269531,42830.000000,95250.257813,101.459999,3044.197021,2184.239990,4.107990
83453.000000,70320.000000,77775.546875,121176.171875,75712.000000,104889.609375,27.590000,2802.261719,645.239990,4.107990
100221.000000,90925.000000,72236.281250,136987.906250,79449.000000,112998.765625,88.110001,23023.744141,250.800003,4.108979
115344.500000,118304.000000,63896.542969,86565.851563,56228.000000,100896.000000,218.050003,18415.990234,775.959961,4.110957
156306.000000,107952.000000,94890.976563,139283.218750,61920.000000,147417.062500,1296.729980,92031.812500,923.399963,4.114913
