"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
57896.000000,78754.000000,48178.789063,83768.578125,68486.000000,80160.289063,82.769997,262143.000000,300.959991,2.378859
178196.000000,194708.000000,59978.289063,153818.703125,103760.000000,97153.648438,84.549995,262143.000000,101.080002,2.378859
120566.000000,134536.000000,58730.847656,116046.210938,70456.000000,107942.617188,130.830002,262143.000000,15.960000,2.379906
181233.500000,170769.000000,69551.960938,143454.640625,83985.000000,111941.945313,1186.369995,262143.000000,4439.919922,2.379906
149915.500000,166673.000000,58946.941406,63390.250000,44513.000000,93328.765625,93.449997,262143.000000,1289.719971,2.380952
132310.500000,140456.000000,61735.359375,120050.320313,77352.000000,101711.890625,1317.199951,262143.000000,2650.119873,2.380952
113760.000000,124639.000000,59815.750000,80686.507813,55567.000000,95162.078125,84.549995,262143.000000,60.799999,2.380952
148373.500000,156761.000000,62029.496094,79867.710938,55165.000000,94882.820313,1049.309937,262143.000000,6467.600098,2.383045
126988.000000,97820.000000,85077.546875,91255.257813,66972.000000,89298.578125,738.700012,262143.000000,11390.120117,2.383045
106926.000000,119915.000000,58437.250000,69614.015625,47643.000000,95758.546875,142.399994,262143.000000,1943.319946,2.384092
104287.000000,124597.000000,54853.269531,70357.171875,52853.000000,87240.601563,491.279999,262143.000000,3446.599854,2.384092
144717.500000,138197.000000,68628.171875,141291.953125,81121.000000,114146.875000,1832.510010,262143.000000,5263.000000,2.387232
161507.500000,157116.000000,67367.773438,175143.984375,101708.000000,112854.804688,471.699982,262143.000000,725.799988,2.387232
135910.000000,133260.000000,66839.250000,89681.742188,58300.000000,100812.742188,99.680000,262143.000000,1545.839966,2.387232
118456.500000,99644.000000,77909.007813,145167.000000,63628.000000,149520.109375,736.029968,262143.000000,858.039978,2.388278
190900.500000,175111.000000,71445.296875,191337.531250,114835.000000,109195.781250,2419.909912,262143.000000,4086.520020,2.388278
167163.500000,113928.000000,96159.218750,106948.625000,46312.000000,151342.750000,927.380005,262143.000000,4041.679932,2.388278
131473.000000,133303.000000,64636.312500,133799.921875,83655.000000,104819.929688,1137.419922,262143.000000,5301.759766,2.390371
112080.500000,133712.000000,54933.792969,42088.988281,31460.000000,87677.820313,16.910000,262143.000000,1393.839966,2.391418
148490.000000,131695.000000,73893.781250,80291.351563,51007.000000,103161.812500,436.989990,262143.000000,1108.839966,2.392465
149124.500000,157428.000000,62079.324219,61344.140625,40720.000000,98729.117188,4490.939941,262143.000000,5646.040039,2.393511
206816.000000,119980.000000,112967.945313,172405.453125,68024.000000,166099.671875,2035.429932,262143.000000,5269.839844,2.393511
221220.000000,148400.000000,97694.570313,133827.515625,55844.000000,157053.937500,2802.609863,262143.000000,3950.479980,2.396651
182356.000000,134753.000000,88687.328125,168953.140625,71749.000000,154322.906250,6188.169922,262143.000000,8135.799805,2.397697
145911.000000,161494.000000,59212.253906,97830.578125,65266.000000,98235.304688,232.289993,262143.000000,1290.479980,2.397697
145783.000000,148461.000000,64353.835938,53153.468750,34665.000000,100489.414063,404.059998,262143.000000,4380.640137,2.398744
119615.500000,118408.000000,66204.328125,68137.507813,42248.000000,105696.359375,42.720001,262143.000000,14.440000,2.399791
133891.000000,153011.000000,57346.730469,80217.476563,56791.000000,92569.828125,247.419998,262143.000000,9753.839844,2.400837
177365.000000,114941.000000,101128.343750,187610.218750,73785.000000,166635.828125,379.139984,262143.000000,422.559998,2.405024
172429.500000,168267.000000,67157.203125,95155.242188,61071.000000,102112.195313,1720.369995,262143.000000,1140.760010,2.405024
150487.000000,122492.000000,80513.968750,93092.218750,50476.000000,120867.171875,1886.799927,262143.000000,1642.359985,2.406070
114058.000000,124676.000000,59954.644531,117602.820313,79124.000000,97406.843750,189.569992,262143.000000,4352.520020,2.408163
127395.000000,130607.000000,63924.285156,64805.347656,41551.000000,102213.742188,34.709999,262143.000000,46.360001,2.414443
137884.000000,136460.000000,66219.890625,149350.000000,96984.000000,100921.820313,839.269958,262143.000000,1290.479980,2.415489
134537.500000,152749.000000,57722.464844,53223.777344,36937.000000,94433.046875,5384.500000,262143.000000,4007.479980,2.416536
168452.500000,173617.000000,63586.535156,84825.007813,56865.000000,97759.468750,3997.879883,262143.000000,3424.560059,2.416536
165060.500000,138359.000000,78183.601563,90505.875000,44983.000000,131858.531250,227.839996,262143.000000,437.000000,2.416536
145931.500000,157032.000000,60903.296875,101853.375000,69384.000000,96204.640625,1200.609985,262143.000000,3291.560059,2.419675
96299.500000,115849.000000,54476.812500,58663.460938,44169.000000,87042.250000,2155.580078,262143.000000,15.960000,2.419675
53952.500000,62480.000000,56591.406250,59380.800781,48032.000000,81020.578125,278.570007,262143.000000,2633.399902,2.419675
191517.500000,192649.000000,65151.082031,123366.460938,77801.000000,103918.265625,2196.520020,262143.000000,423.320007,2.421769
91321.500000,89323.000000,67002.289063,54228.589844,31867.000000,111523.679688,245.639999,262143.000000,1640.839966,2.421769
145493.500000,139078.000000,68559.101563,69298.070313,44338.000000,102429.476563,3715.750000,262143.000000,6395.399902,2.421769
146488.000000,163525.000000,58708.074219,66053.132813,45601.000000,94929.015625,84.549995,262143.000000,2474.560059,2.422815
162285.000000,159020.000000,66881.585938,93655.585938,62540.000000,98142.187500,3644.550049,262143.000000,3654.839844,2.423862
