"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
104014.500000,105443.000000,64648.148438,74280.289063,47479.000000,102530.242188,429.869995,262143.000000,590.520020,3.388942
93997.500000,102729.000000,59965.738281,80468.460938,57641.000000,91490.101563,37.380001,262143.000000,1169.640015,3.388942
88517.000000,105504.000000,54984.171875,42370.230469,33124.000000,83829.718750,32.930000,262143.000000,1911.400024,3.388942
89077.500000,102344.000000,57040.796875,74803.609375,52684.000000,93051.578125,520.649963,262143.000000,1523.040039,3.388942
99113.500000,108273.000000,59991.890625,95556.625000,67797.000000,92369.859375,1388.400024,262143.000000,1901.520020,3.390272
133649.000000,154441.000000,56713.058594,86586.320313,61273.000000,92610.468750,26.699999,262143.000000,4950.640137,3.392932
115813.500000,128344.000000,59137.582031,121269.617188,85400.000000,93062.359375,631.899963,262143.000000,1111.119995,3.392932
163464.000000,184758.000000,57982.746094,186851.046875,135910.000000,90099.851563,1240.660034,262143.000000,3117.520020,3.395592
81391.000000,79497.000000,67097.382813,51971.550781,32921.000000,103460.023438,90.779999,262143.000000,695.399963,3.395592
142091.500000,163028.000000,57119.687500,93655.585938,60272.000000,101835.218750,542.010010,262143.000000,570.000000,3.396922
159716.500000,133320.000000,78511.718750,118076.296875,65500.000000,118141.195313,382.699982,262143.000000,3216.320068,3.398252
66117.000000,70973.000000,61052.003906,42815.230469,25081.000000,111875.085938,253.649994,262143.000000,801.039978,3.398252
115882.000000,137677.000000,55161.304688,109139.804688,79965.000000,89446.460938,32.930000,262143.000000,55.480000,3.398252
122288.500000,114535.000000,69972.492188,56795.347656,35815.000000,103926.843750,2.670000,262143.000000,1654.520020,3.398252
116860.500000,131744.000000,58132.210938,81408.296875,58880.000000,90610.976563,201.139999,262143.000000,2374.239990,3.402242
178469.000000,177158.000000,66020.976563,154633.937500,96786.000000,104706.156250,2628.169922,262143.000000,1729.760010,3.402242
83868.000000,89684.000000,61285.996094,98385.046875,63380.000000,101731.812500,129.940002,262143.000000,1564.839966,3.404902
120109.000000,133777.000000,58840.183594,108064.687500,74833.000000,94639.101563,27.590000,262143.000000,2435.040039,3.406232
143936.000000,153824.000000,61323.261719,114098.000000,66992.000000,111618.203125,2163.589844,262143.000000,3806.079834,3.407562
110616.500000,97811.000000,74116.031250,138228.562500,88887.000000,101915.312500,2415.459961,262143.000000,40.279999,3.407562
126514.500000,152433.000000,54392.781250,72191.460938,53221.000000,88896.101563,1277.150024,262143.000000,3464.839844,3.407562
153787.500000,129253.000000,77975.898438,100523.718750,56017.000000,117605.765625,161.979996,262143.000000,2129.520020,3.407562
108191.000000,108064.000000,65613.015625,92898.195313,60960.000000,99871.656250,248.309998,262143.000000,1622.599976,3.407562
61430.500000,67801.000000,59378.316406,91500.898438,55229.000000,108577.078125,8.010000,262143.000000,33.439999,3.407562
88542.500000,101562.000000,57134.769531,64796.449219,41722.000000,101780.843750,34.709999,262143.000000,166.440002,3.407562
139013.500000,123895.000000,73533.140625,73628.812500,50403.000000,95735.132813,73.869995,262143.000000,2221.479980,3.408892
131225.500000,130541.000000,65879.656250,80212.140625,52905.000000,99362.679688,201.139999,262143.000000,2880.399902,3.410222
67714.000000,88240.000000,50291.304688,41026.328125,34100.000000,78847.554688,461.910004,262143.000000,1423.479980,3.412883
117877.500000,130516.000000,59189.832031,96199.210938,67728.000000,93085.750000,129.940002,262143.000000,410.399994,3.412883
108322.500000,107500.000000,66037.429688,69155.671875,49356.000000,91826.445313,25.809999,262143.000000,2335.479980,3.412883
141794.000000,130008.000000,71477.226563,84602.507813,50136.000000,110589.398438,94.339996,262143.000000,2922.959961,3.414213
183993.000000,193980.000000,62161.898438,134660.562500,79080.000000,111597.304688,40.049999,262143.000000,1091.359985,3.414213
146723.000000,128108.000000,75058.843750,95006.609375,53256.000000,116913.656250,45.389999,262143.000000,3121.320068,3.415542
77596.000000,78286.000000,64958.375000,45180.847656,27982.000000,105817.023438,27.590000,262143.000000,139.080002,3.415542
61245.500000,75115.000000,53435.199219,73824.609375,58063.000000,83326.210938,1444.469971,262143.000000,1273.760010,3.415542
110498.500000,129879.000000,55756.738281,69194.828125,45731.000000,99161.445313,43.610001,262143.000000,44.079998,3.419533
115698.500000,114943.000000,65966.757813,72081.101563,47695.000000,99044.078125,80.989998,262143.000000,172.520004,3.419533
56895.500000,69207.000000,53877.554688,70322.460938,51699.000000,89143.945313,33.820000,262143.000000,3119.800049,3.420863
92479.500000,101177.000000,59902.316406,70876.039063,50073.000000,92763.210938,242.970001,262143.000000,2430.479980,3.420863
126750.000000,107526.000000,77252.835938,102539.570313,63090.000000,106515.031250,49.840000,262143.000000,2054.280029,3.423523
166199.500000,155800.000000,69910.468750,119185.234375,69240.000000,112809.414063,84.549995,262143.000000,4221.799805,3.423523
160340.000000,143904.000000,73021.195313,83012.968750,47664.000000,114139.343750,97.900002,262143.000000,5412.719727,3.423523
192007.000000,164190.000000,76639.078125,177375.218750,93786.000000,123946.679688,2196.520020,262143.000000,4196.719727,3.424853
82010.000000,95781.000000,56113.503906,57863.347656,44113.000000,85964.054688,47.169998,262143.000000,1083.760010,3.424853
81169.000000,94036.000000,56568.671875,65066.117188,52560.000000,81129.625000,171.770004,262143.000000,2400.840088,3.427513
135498.000000,143193.000000,62014.183594,126940.695313,79001.000000,105304.812500,3293.000000,262143.000000,5931.040039,3.427513
107319.500000,113376.000000,62035.093750,119457.578125,72180.000000,108461.789063,43.610001,262143.000000,444.600006,3.428843
101735.500000,99630.000000,66920.984375,56296.058594,32298.000000,114230.562500,509.079987,262143.000000,2732.199951,3.428843
89217.000000,101076.000000,57846.820313,79579.351563,57360.000000,90922.460938,180.669998,262143.000000,476.519989,3.428843
94805.000000,113918.000000,54540.460938,70969.492188,55694.000000,83510.914063,64.080002,262143.000000,1197.000000,3.430173
149344.000000,133069.000000,73551.382813,138751.000000,66201.000000,137357.218750,235.849991,262143.000000,4637.520020,3.430173
94546.500000,107533.000000,57621.375000,109017.875000,76921.000000,92882.242188,736.919983,262143.000000,701.479980,3.431503
114246.000000,116652.000000,64184.289063,74866.796875,41132.000000,119285.968750,1836.069946,262143.000000,3062.800049,3.431503
121413.500000,126688.000000,62807.488281,83401.007813,59376.000000,92053.492188,88.110001,262143.000000,778.239990,3.431503
123765.000000,126209.000000,64266.917969,74754.656250,49953.000000,98074.617188,17.799999,262143.000000,633.839966,3.431503
74353.000000,100276.000000,48593.867188,41419.710938,34916.000000,77743.218750,751.159973,262143.000000,1101.239990,3.431503
140173.500000,103836.000000,88470.390625,113131.460938,54252.000000,136661.937500,1100.929932,262143.000000,3201.119873,3.432833
121638.000000,123706.000000,64440.433594,81287.257813,55342.000000,96260.375000,459.239990,262143.000000,1717.599976,3.434163
144081.500000,126012.000000,74933.546875,119389.046875,73084.000000,107058.726563,55.180000,262143.000000,2821.879883,3.435493
53029.500000,61981.000000,56071.078125,68171.328125,47405.000000,94244.828125,29.369999,262143.000000,0.760000,3.438153
122636.000000,139130.000000,57766.644531,117611.718750,79754.000000,96644.703125,79.209999,262143.000000,90.440002,3.440814
130655.000000,116184.000000,73698.664063,90814.710938,58956.000000,100950.414063,41.829998,262143.000000,1464.520020,3.440814
146180.000000,163987.000000,58419.582031,137388.406250,94663.000000,95115.156250,97.010002,262143.000000,1825.520020,3.442143
68737.000000,87966.000000,51210.105469,65789.687500,54346.000000,79335.976563,136.169998,262143.000000,1076.160034,3.443473
88051.000000,111386.000000,51806.421875,90138.304688,69982.000000,84411.765625,60.520000,262143.000000,3926.919922,3.443473
163972.500000,126885.000000,84691.664063,136476.156250,57509.000000,155525.234375,196.690002,262143.000000,6624.919922,3.443473
101892.500000,84779.000000,78765.109375,73659.960938,40367.000000,119587.265625,773.409973,262143.000000,2459.359863,3.444803
82980.000000,100505.000000,54108.523438,99781.460938,75977.000000,86069.179688,56.959999,262143.000000,981.919983,3.446134
119377.000000,122673.000000,63775.171875,98936.851563,64501.000000,100524.429688,36.489998,262143.000000,1858.959961,3.446134
124364.500000,98641.000000,82626.414063,127234.398438,69105.000000,120663.250000,137.059998,262143.000000,788.119995,3.446134
166349.000000,145151.000000,75106.953125,153671.843750,90939.000000,110744.976563,3278.760010,262143.000000,3169.199951,3.446134
156606.000000,167493.000000,61276.179688,115382.265625,77893.000000,97077.945313,65.860001,262143.000000,2405.399902,3.447464
112676.500000,115577.000000,63891.316406,69902.375000,45981.000000,99630.765625,1765.760010,262143.000000,2498.879883,3.450124
83204.500000,87536.000000,62293.113281,109567.007813,70932.000000,101231.937500,32.930000,262143.000000,774.440002,3.451454
145031.000000,139332.000000,68216.570313,106135.171875,66112.000000,105210.468750,72.979996,262143.000000,2714.719971,3.454114
113975.000000,113176.000000,65998.671875,84777.835938,53288.000000,104263.625000,64.970001,262143.000000,80.559998,3.456774
98257.000000,107092.000000,60129.335938,61677.000000,46260.000000,87377.085938,1208.619995,262143.000000,1646.919922,3.456774
76391.000000,84962.000000,58924.703125,56125.179688,35670.000000,103118.015625,24.920000,262143.000000,177.080002,3.456774
71781.500000,92985.000000,50591.742188,109659.570313,84713.000000,84835.265625,17.799999,262143.000000,28.879999,3.456774
131068.500000,98541.000000,87168.835938,59008.777344,31529.000000,122655.312500,39.160000,262143.000000,581.399963,3.456774
85732.500000,88771.000000,63292.792969,76145.726563,58883.000000,84749.187500,127.269997,262143.000000,2219.959961,3.458104
123911.500000,136307.000000,59576.281250,129711.265625,78835.000000,107829.742188,232.289993,262143.000000,559.359985,3.459434
103513.000000,94093.000000,72097.054688,62799.289063,42217.000000,97487.132813,296.369995,262143.000000,2634.159912,3.459434
128735.000000,118425.000000,71241.523438,97677.500000,54477.000000,117506.335938,302.600006,262143.000000,1136.959961,3.459434
67152.000000,86883.000000,50652.875000,47049.847656,38291.000000,80526.984375,85.440002,262143.000000,1358.880005,3.462094
118333.500000,143373.000000,54090.414063,89834.820313,68089.000000,86466.460938,166.429993,262143.000000,1457.679932,3.463424
113355.000000,129705.000000,57274.839844,79365.750000,55545.000000,93641.437500,8.010000,262143.000000,61.559998,3.464754
65711.500000,84012.000000,51260.160156,42999.460938,34824.000000,80921.578125,451.229980,262143.000000,1756.359985,3.464754
142269.500000,137671.000000,67725.046875,140433.093750,81763.000000,112562.203125,70.309998,262143.000000,139.080002,3.464754
92778.500000,101743.000000,59761.664063,59766.167969,43935.000000,89150.687500,17.799999,262143.000000,78.279999,3.466084
121328.000000,123715.000000,64271.523438,82106.062500,53795.000000,100026.085938,20.469999,262143.000000,2409.959961,3.466084
69793.000000,80473.000000,56838.367188,47190.468750,36633.000000,84423.179688,1453.369995,262143.000000,4223.319824,3.466084
83732.000000,86672.000000,63312.953125,123668.171875,84500.000000,95913.820313,8.900000,262143.000000,20.520000,3.467414
115536.000000,109961.000000,68858.671875,88663.578125,53197.000000,109229.015625,483.269989,262143.000000,204.440002,3.467414
121385.000000,119424.000000,66612.140625,114020.570313,63796.000000,117130.421875,226.949997,262143.000000,1853.640015,3.468744
188925.000000,188052.000000,65840.234375,192217.750000,120516.000000,104527.062500,686.190002,262143.000000,6004.000000,3.470074
87430.000000,104944.000000,54598.765625,78514.906250,59344.000000,86707.210938,386.259979,262143.000000,791.919983,3.470074
77430.000000,88582.000000,57285.371094,50531.527344,38082.000000,86960.617188,512.640015,262143.000000,1092.119995,3.470074
91931.000000,98364.000000,61249.953125,75317.140625,54136.000000,91177.484375,184.229996,262143.000000,1301.880005,3.470074
108873.000000,117797.000000,60571.160156,79034.671875,59749.000000,86689.585938,23.139999,262143.000000,1776.119995,3.475394
112631.500000,112608.000000,65549.679688,123759.835938,86772.000000,93471.679688,257.209991,262143.000000,732.640015,3.475394
97758.000000,98810.000000,64838.257813,91050.554688,62398.000000,95629.484375,55.180000,262143.000000,1138.479980,3.476724
101813.000000,122576.000000,54434.941406,63262.089844,48516.000000,85455.203125,321.290009,262143.000000,2497.359863,3.476724
60799.000000,79429.000000,50164.589844,66051.351563,54257.000000,79782.171875,57.849998,262143.000000,120.839996,3.476724
92405.000000,109273.000000,55419.496094,147827.218750,108557.000000,89243.484375,332.859985,262143.000000,1326.199951,3.478055
113950.500000,132364.000000,56419.117188,82925.750000,65896.000000,82472.718750,39.160000,262143.000000,81.320000,3.478055
186678.500000,145365.000000,84161.671875,121047.117188,60965.000000,130122.921875,216.269989,262143.000000,345.040009,3.479384
62186.500000,72713.000000,56048.500000,71771.375000,55437.000000,84846.023438,23.139999,262143.000000,29.639999,3.479384
111300.000000,98178.000000,74295.234375,153080.890625,91842.000000,109234.429688,256.320007,262143.000000,1022.200012,3.479384
115792.500000,124364.000000,61019.082031,85713.226563,60696.000000,92548.140625,27.590000,262143.000000,760.760010,3.480715
