"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
125281.000000,114912.000000,71449.593750,122504.937500,71840.000000,111755.062500,249.199997,262143.000000,295.639984,6.719265
207929.500000,154504.000000,88197.507813,170177.781250,73772.000000,151178.921875,471.699982,262143.000000,450.679993,6.723381
105009.500000,130199.000000,52856.796875,117275.296875,91559.000000,83943.179688,45717.519531,262143.000000,59381.078125,6.723381
108479.500000,135850.000000,52332.074219,117471.984375,89994.000000,85546.195313,20629.310547,262143.000000,24959.160156,6.724753
175839.500000,154693.000000,74494.765625,196535.140625,110545.000000,116514.796875,19127.878906,262143.000000,9318.360352,6.731614
138939.500000,160839.000000,56612.757813,68715.117188,48119.000000,93587.031250,4848.719727,262143.000000,7435.839844,6.734358
94245.500000,95934.000000,64382.523438,148014.125000,82794.000000,117161.312500,225.169998,262143.000000,155.039993,6.734358
135544.500000,146906.000000,60467.542969,99782.351563,65258.000000,100207.429688,5257.229980,262143.000000,4991.680176,6.739847
138592.000000,151536.000000,59938.003906,120042.304688,80996.000000,97129.406250,824.140015,262143.000000,916.559998,6.741219
189804.500000,198694.000000,62603.941406,169629.546875,105142.000000,105731.695313,800.109985,262143.000000,658.159973,6.746707
151139.500000,144638.000000,68481.851563,131752.031250,73578.000000,117351.671875,3766.479980,262143.000000,2776.280029,6.750823
181502.000000,187349.000000,63490.683594,197612.921875,124213.000000,104262.515625,36110.859375,262143.000000,28806.279297,6.754940
72590.500000,84039.000000,56608.136719,126286.546875,99411.000000,83253.515625,217.160004,262143.000000,172.520004,6.756312
129003.500000,125513.000000,67358.554688,114117.578125,68185.000000,109684.093750,4625.330078,262143.000000,2242.000000,6.759056
175583.000000,155229.000000,74129.250000,150106.500000,88169.000000,111574.132813,10546.500000,262143.000000,8379.759766,6.759056
151988.500000,130585.000000,76277.664063,132114.265625,70669.000000,122518.226563,21683.958984,262143.000000,26514.878906,6.759056
139907.000000,159416.000000,57515.839844,106506.296875,74428.000000,93781.867188,580.279968,262143.000000,599.640015,6.761800
74225.500000,89124.000000,54580.613281,75799.515625,56656.000000,87679.984375,4413.509766,262143.000000,4569.120117,6.767289
186374.500000,170546.000000,71618.445313,148940.609375,96194.000000,101471.734375,1132.079956,262143.000000,1605.119995,6.767289
84141.500000,75888.000000,72663.625000,77561.718750,48436.000000,104944.351563,15445.059570,262143.000000,18873.080078,6.768661
102420.500000,121565.000000,55215.152344,106293.585938,78285.000000,88983.273438,7786.609863,262143.000000,7346.159668,6.768661
167466.000000,163005.000000,67329.539063,178763.609375,103517.000000,113174.179688,25981.769531,262143.000000,26646.359375,6.771405
107304.000000,112826.000000,62328.500000,85221.062500,53086.000000,105207.539063,604.309998,262143.000000,789.640015,6.771405
120292.500000,110360.000000,71434.296875,94189.585938,57048.000000,108203.773438,265.220001,262143.000000,333.639984,6.772778
93413.500000,99710.000000,61397.523438,92785.171875,61662.000000,98614.531250,1078.679932,262143.000000,1069.319946,6.774149
150650.000000,156692.000000,63008.953125,158352.359375,97456.000000,106486.828125,404.949982,262143.000000,294.880005,6.781010
135580.000000,132763.000000,66926.562500,136994.140625,84847.000000,105814.554688,125.489998,262143.000000,98.040001,6.785126
192634.500000,184008.000000,68608.398438,164408.812500,97192.000000,110859.906250,7572.120117,262143.000000,8781.799805,6.791987
133504.500000,152113.000000,57518.757813,115642.148438,90885.000000,83388.070313,45514.597656,262143.000000,60606.960938,6.796103
155981.500000,167237.000000,61125.253906,115715.125000,81413.000000,93148.585938,359.559998,262143.000000,422.559998,6.797475
80266.500000,105194.000000,50006.136719,80488.929688,67406.000000,78255.984375,138.839996,262143.000000,111.720001,6.798848
145501.000000,134337.000000,70982.328125,159904.515625,92981.000000,112705.859375,14187.490234,262143.000000,15288.919922,6.800220
139736.500000,150457.000000,60866.371094,109096.195313,68185.000000,104857.789063,2213.429932,262143.000000,1309.479980,6.802964
181852.000000,143936.000000,82799.671875,199983.890625,97700.000000,134146.828125,2166.260010,262143.000000,1836.160034,6.805708
158036.500000,165144.000000,62715.449219,92368.648438,61480.000000,98462.453125,1097.369995,262143.000000,177.080002,6.805708
108191.500000,103646.000000,68410.156250,83904.750000,49662.000000,110724.125000,2357.609863,262143.000000,2011.719971,6.813941
96805.500000,103967.000000,61021.722656,162622.578125,109327.000000,97484.000000,14088.700195,262143.000000,7958.719727,6.816685
125935.500000,144406.000000,57153.507813,137927.750000,91926.000000,98331.625000,4183.890137,262143.000000,2693.439941,6.819429
154651.000000,169556.000000,59774.992188,148303.375000,105316.000000,92286.164063,22212.619141,262143.000000,5570.040039,6.822174
123502.000000,121114.000000,66828.164063,148904.125000,81962.000000,119062.250000,7757.239746,262143.000000,5479.600098,6.826290
117723.500000,143396.000000,53802.949219,132432.000000,97680.000000,88852.000000,856.179993,262143.000000,912.000000,6.830406
138079.500000,134260.000000,67400.406250,117518.265625,72692.000000,105949.460938,13665.059570,262143.000000,15827.759766,6.840011
119735.000000,134033.000000,58544.933594,127739.914063,92769.000000,90240.953125,1010.149963,262143.000000,1245.640015,6.842755
136917.500000,128317.000000,69928.570313,110067.187500,63149.000000,114227.671875,7552.540039,262143.000000,7536.919922,6.842755
85664.000000,112921.000000,49716.847656,68183.789063,57757.000000,77367.117188,3536.859863,262143.000000,4404.199707,6.842755
192307.500000,156845.000000,80353.617188,127962.414063,61005.000000,137466.515625,10383.629883,262143.000000,8637.399414,6.844127
80865.500000,87548.000000,60533.664063,117863.585938,80780.000000,95621.539063,3418.489990,262143.000000,3258.879883,6.844127
156670.500000,146285.000000,70188.718750,102963.210938,62617.000000,107763.015625,1597.549927,262143.000000,1482.760010,6.846872
196865.000000,183122.000000,70454.367188,164394.562500,87830.000000,122666.085938,1108.939941,262143.000000,737.200012,6.848244
213306.000000,177734.000000,78652.484375,118458.109375,55446.000000,140014.984375,12416.389648,262143.000000,15929.599609,6.855104
182206.500000,163307.000000,73120.476563,199834.359375,97759.000000,133965.609375,8268.990234,262143.000000,8914.040039,6.860593
89779.000000,117765.000000,49961.847656,77736.156250,63333.000000,80440.164063,205.589996,262143.000000,224.199997,6.860593
79986.500000,90573.000000,57875.917969,107912.500000,80553.000000,87795.039063,64.970001,262143.000000,48.639999,6.861965
68960.500000,81376.000000,55537.203125,52744.960938,41424.000000,83446.648438,2079.040039,262143.000000,1295.040039,6.863337
136170.000000,132812.000000,67193.000000,109458.429688,61112.000000,117382.312500,523.320007,262143.000000,382.279999,6.867454
93730.500000,110744.000000,55467.765625,140425.093750,104172.000000,88343.304688,14468.729492,262143.000000,11844.599609,6.867454
179115.500000,144665.000000,81142.734375,182022.796875,94445.000000,126306.804688,7251.719727,262143.000000,6783.759766,6.868825
134056.500000,143756.000000,61114.156250,101703.859375,72952.000000,91365.062500,631.899963,262143.000000,661.200012,6.868825
155283.500000,157651.000000,64551.824219,167256.812500,101703.000000,107777.960938,29620.980469,262143.000000,36087.078125,6.868825
123108.000000,119627.000000,67443.023438,99229.656250,56799.000000,114493.476563,5752.069824,262143.000000,4015.839844,6.870198
141104.500000,154067.000000,60022.093750,179684.765625,118679.000000,99224.132813,35170.128906,262143.000000,47948.398438,6.875686
97211.000000,106609.000000,59758.746094,162089.468750,104321.000000,101827.015625,1771.099976,262143.000000,1867.319946,6.878430
98861.000000,124541.000000,52022.660156,91118.195313,70109.000000,85174.835938,6504.120117,262143.000000,6560.319824,6.878430
133634.000000,137321.000000,63776.390625,155974.281250,94841.000000,107779.671875,1734.609985,262143.000000,2508.760010,6.878430
127127.000000,126360.000000,65933.804688,91378.078125,61240.000000,97788.273438,752.940002,262143.000000,625.479980,6.881175
145667.000000,131462.000000,72617.437500,128811.476563,78838.000000,107077.664063,321.290009,262143.000000,285.760010,6.888035
81092.000000,94494.000000,56241.089844,97858.171875,67566.000000,94918.046875,34.709999,262143.000000,12.160000,6.888035
114975.000000,141658.000000,53191.503906,85146.296875,63102.000000,88430.601563,892.669983,262143.000000,391.399994,6.889408
142012.000000,166793.000000,55799.101563,149374.031250,118477.000000,82626.804688,101.459999,262143.000000,138.319992,6.890779
125819.500000,82877.000000,99493.304688,95850.328125,36809.000000,170655.187500,11055.580078,262143.000000,13486.200195,6.893524
115603.000000,147316.000000,51427.941406,149455.031250,123252.000000,79468.765625,8316.160156,262143.000000,9587.399414,6.893524
178161.500000,160800.000000,72611.890625,169579.703125,104096.000000,106762.757813,117623.289063,262143.000000,191817.156250,6.893524
109135.500000,113098.000000,63239.878906,57447.718750,36138.000000,104181.023438,56.959999,262143.000000,35.720001,6.894896
168192.000000,144065.000000,76511.515625,102121.265625,55489.000000,120611.648438,1600.219971,262143.000000,1174.959961,6.897640
132755.500000,117874.000000,73809.867188,98678.750000,60626.000000,106670.585938,2630.839844,262143.000000,2369.679932,6.899012
112477.000000,113033.000000,65213.636719,69718.148438,48537.000000,94135.367188,369.350006,262143.000000,156.559998,6.904501
157865.000000,189409.000000,54621.699219,126004.421875,93105.000000,88693.695313,200.250000,262143.000000,145.160004,6.905873
117892.000000,138616.000000,55737.937500,115473.046875,82428.000000,91809.125000,3211.119873,262143.000000,2729.919922,6.907245
170309.500000,159877.000000,69812.445313,140111.812500,76293.000000,120356.617188,89.000000,262143.000000,123.119995,6.908617
75878.500000,101650.000000,48920.542969,53325.238281,45442.000000,76905.132813,603.419983,262143.000000,145.919998,6.909989
110398.000000,130096.000000,55613.113281,88780.171875,65908.000000,88279.078125,250.089996,262143.000000,97.279999,6.911361
201469.500000,171062.000000,77185.500000,169857.390625,85222.000000,130620.898438,6747.089844,262143.000000,5048.680176,6.914105
167909.500000,159464.000000,69006.906250,141094.375000,85464.000000,108194.812500,42369.339844,262143.000000,49288.281250,6.914105
112832.500000,100993.000000,73218.843750,99051.656250,54789.000000,118480.882813,249.199997,262143.000000,208.239990,6.916850
126622.500000,130064.000000,63801.910156,105845.921875,69476.000000,99843.382813,105.909996,262143.000000,48.639999,6.919594
138362.000000,139380.000000,65057.343750,80395.476563,49908.000000,105570.203125,4984.890137,262143.000000,5537.359863,6.922338
87825.000000,104325.000000,55170.859375,132982.906250,99057.000000,87981.351563,1185.479980,262143.000000,1420.439941,6.922338
138128.500000,161016.000000,56220.433594,137890.375000,98908.000000,91365.554688,96872.046875,262143.000000,141961.156250,6.922338
97447.500000,105397.000000,60592.992188,66323.687500,46545.000000,93384.664063,1728.380005,262143.000000,2006.400024,6.927826
179814.000000,156157.000000,75464.367188,198849.140625,114461.000000,113853.437500,3637.429932,262143.000000,934.799988,6.927826
121116.000000,118923.000000,66744.515625,140669.843750,77979.000000,118223.359375,1347.459961,262143.000000,857.279968,6.929199
107282.000000,118041.000000,59562.636719,95616.257813,67693.000000,92569.507813,51498.070313,262143.000000,71735.640625,6.933315
139460.500000,132358.000000,69052.750000,168711.062500,105762.000000,104542.726563,28855.580078,262143.000000,20952.439453,6.934687
190245.500000,193586.000000,64405.117188,118854.156250,77634.000000,100332.664063,56272.027344,262143.000000,53350.480469,6.934687
89797.000000,111620.000000,52722.953125,56211.507813,44448.000000,82880.617188,13.349999,262143.000000,3.800000,6.942920
156441.500000,156161.000000,65653.718750,136029.375000,85477.000000,104294.976563,101455.546875,262143.000000,111342.281250,6.945664
211128.000000,143885.000000,96163.500000,142607.375000,63629.000000,146881.421875,1708.799927,262143.000000,1827.039917,6.947036
202978.000000,205645.000000,64686.066406,156049.031250,97901.000000,104460.937500,69211.742188,262143.000000,60691.320313,6.947036
205105.000000,187365.000000,71741.054688,136673.734375,71381.000000,125482.265625,27089.820313,262143.000000,24511.519531,6.947036
121900.000000,110613.000000,72223.328125,107224.531250,66805.000000,105187.742188,11319.910156,262143.000000,12566.599609,6.949780
119661.500000,127328.000000,61590.035156,90294.945313,68644.000000,86206.656250,254.539993,262143.000000,253.080002,6.949780
109332.500000,110407.000000,64898.191406,82868.789063,57223.000000,94907.445313,242.970001,262143.000000,304.000000,6.952525
121984.500000,135058.000000,59192.167969,96131.570313,58822.000000,107104.117188,6885.929688,262143.000000,7105.239746,6.955269
85041.000000,99463.000000,56033.375000,131734.234375,92067.000000,93772.312500,26986.580078,262143.000000,26465.480469,6.962130
97399.500000,116281.000000,54894.382813,74549.070313,57453.000000,85037.296875,6463.179688,262143.000000,7919.199707,6.962130
59828.000000,66369.000000,59077.093750,70292.195313,52577.000000,87617.585938,3995.209961,262143.000000,5756.239746,6.975851
135423.500000,153557.000000,57796.875000,106737.695313,72065.000000,97067.390625,9828.269531,262143.000000,10770.719727,6.975851
91698.500000,108887.000000,55190.726563,88945.710938,66903.000000,87128.328125,447.669983,262143.000000,528.960022,6.978595
99650.000000,112406.000000,58098.878906,85741.710938,57138.000000,98343.820313,89.000000,262143.000000,15.960000,6.978595
106257.500000,115873.000000,60097.621094,79939.796875,56977.000000,91948.234375,1100.929932,262143.000000,135.279999,6.981339
127377.500000,125127.000000,66714.710938,105773.828125,64899.000000,106812.031250,5530.459961,262143.000000,5491.000000,6.982711
157107.000000,155808.000000,66082.382813,186641.890625,109540.000000,111664.804688,118.369995,262143.000000,116.279999,6.982711
90607.000000,100973.000000,58808.003906,75356.296875,55405.000000,89135.468750,1876.119995,262143.000000,2136.359863,6.982711
117066.500000,119924.000000,63974.437500,132027.046875,90596.000000,95506.695313,84.549995,262143.000000,69.159996,6.984084
119420.500000,137993.000000,56715.500000,119223.507813,89961.000000,86853.539063,783.200012,262143.000000,163.399994,6.984084
101808.000000,97920.000000,68138.171875,91816.851563,57184.000000,105227.148438,647.029968,262143.000000,750.119995,6.986828
137637.500000,165696.000000,54438.316406,89549.125000,63824.000000,91951.164063,214.489990,262143.000000,114.760002,6.986828
131121.500000,118280.000000,72651.156250,104202.085938,66748.000000,102310.000000,4749.929688,262143.000000,2659.239990,6.993689
105157.500000,127428.000000,54082.320313,102138.179688,78144.000000,85658.882813,8987.219727,262143.000000,9345.719727,7.004665
101514.000000,104613.000000,63594.597656,91919.195313,61237.000000,98372.164063,2213.429932,262143.000000,2175.879883,7.011526
108834.500000,130502.000000,54654.925781,103233.765625,71650.000000,94424.671875,853.510010,262143.000000,561.640015,7.011526
84148.500000,107676.000000,51216.203125,70042.109375,57900.000000,79279.445313,17639.798828,262143.000000,19689.320313,7.011526
119137.500000,137312.000000,56861.710938,131444.093750,100048.000000,86101.882813,15833.099609,262143.000000,6286.719727,7.012898
146876.500000,110724.000000,86934.171875,141882.906250,77280.000000,120321.414063,20081.958984,262143.000000,23582.039063,7.014270
142048.000000,121496.000000,76621.937500,149888.453125,82652.000000,118848.781250,10882.919922,262143.000000,14263.679688,7.030736
101192.000000,116788.000000,56784.250000,87888.390625,64932.000000,88705.929688,97.010002,262143.000000,28.879999,7.033480
