"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","mCherry-A","Time"
174935.406250,68148.171875,168230.000000,141918.828125,94626.031250,98290.000000,13719.719727,31758.480469,1.817447
155534.406250,66287.117188,153772.000000,127372.554688,88927.945313,93868.000000,97.439995,144.990005,1.817447
127563.601563,65193.386719,128234.000000,140519.390625,92566.578125,99486.000000,219.239990,28055.160156,1.817447
114765.007813,61410.906250,122474.000000,95368.554688,82609.562500,75658.000000,6629.279785,9177.299805,1.818255
138021.000000,67404.476563,134195.000000,105025.195313,90290.445313,76231.000000,1531.319946,8952.929688,1.818255
159706.203125,68923.890625,151856.000000,114473.515625,90448.210938,82944.000000,98.279999,189.539993,1.818255
99532.804688,61692.382813,105734.000000,82498.914063,78250.632813,69094.000000,74.759995,225.990005,1.819063
114598.804688,60114.039063,124935.000000,91733.039063,81497.367188,73767.000000,309.119995,16802.640625,1.819063
139611.000000,62215.574219,147062.000000,94107.718750,86077.367188,71650.000000,6503.279785,35963.191406,1.819063
102916.804688,62890.519531,107246.000000,94661.273438,82288.382813,75390.000000,152.039993,23080.140625,1.819063
132342.000000,75054.000000,115559.000000,115815.000000,93599.187500,81091.000000,156.239990,13328.549805,1.819063
112005.601563,62517.242188,117414.000000,114297.117188,88246.937500,84882.000000,147.839996,3842.639893,1.819063
110747.406250,60712.550781,119546.000000,82120.078125,80742.671875,66654.000000,86.519997,216.270004,1.819063
132788.406250,64066.113281,135835.000000,144600.109375,88046.320313,107631.000000,661.079956,22289.580078,1.819871
128029.203125,65327.410156,128438.000000,83291.875000,89418.093750,61046.000000,885.359985,12132.990234,1.819871
113365.804688,62276.644531,119299.000000,102845.398438,86549.929688,77875.000000,394.799988,12339.540039,1.819871
103695.601563,62900.730469,108040.000000,55179.597656,81278.664063,44492.000000,337.679993,14621.309570,1.819871
131944.203125,67078.546875,128910.000000,112583.515625,88974.187500,82926.000000,8818.319336,23323.140625,1.820678
111921.601563,62249.273438,117831.000000,85040.757813,87121.218750,63971.000000,3571.679932,22963.500000,1.820678
134470.812500,69867.046875,126135.000000,170027.750000,93881.914063,118691.000000,183.119995,206.550003,1.820678
118552.804688,64714.359375,120058.000000,77583.234375,87119.953125,58362.000000,21942.478516,20968.470703,1.820678
191557.812500,68525.085938,183202.000000,159968.750000,95138.679688,110194.000000,184.799988,252.720001,1.821486
128278.804688,64604.695313,130128.000000,89983.320313,91072.828125,64752.000000,12270.719727,58503.871094,1.821486
91631.406250,59748.640625,100507.000000,98087.640625,81133.296875,79231.000000,1106.279907,2497.229980,1.821486
140169.609375,66574.546875,137983.000000,136995.593750,89685.468750,100107.000000,116.759995,216.270004,1.821486
124494.601563,67944.789063,120081.000000,82211.640625,93478.531250,57637.000000,996.239990,12538.799805,1.821486
126664.804688,67472.203125,123030.000000,83590.078125,89206.312500,61410.000000,5045.879883,15820.919922,1.822294
120407.406250,61213.882813,128909.000000,134980.437500,87073.695313,101593.000000,3045.839844,19887.929688,1.822294
142950.000000,70234.515625,133387.000000,146886.593750,98069.054688,98159.000000,10124.519531,55843.832031,1.822294
138831.609375,66513.648438,136791.000000,173783.390625,89984.507813,126567.000000,444.359985,26796.419922,1.822294
154728.609375,61601.554688,164611.000000,107600.632813,86448.804688,81571.000000,295.679993,17440.919922,1.822294
168824.406250,71625.585938,154471.000000,151046.281250,97087.750000,101959.000000,4364.639648,57181.140625,1.823102
147103.203125,65835.500000,146434.000000,128277.234375,86555.375000,97126.000000,275.519989,9468.900391,1.823102
118750.804688,64390.695313,120863.000000,107141.156250,81194.320313,86479.000000,8756.160156,11021.669922,1.823102
148544.406250,76841.164063,126690.000000,141569.390625,98745.085938,93958.000000,178.919998,908.010010,1.823102
109735.804688,64366.296875,111730.000000,98969.640625,84978.578125,76326.000000,8321.879883,37197.628906,1.823102
112774.203125,59743.187500,123709.000000,98341.320313,81757.945313,78829.000000,2546.040039,16580.699219,1.823910
142666.203125,70356.710938,132891.000000,90937.554688,91564.890625,65087.000000,3449.039795,38466.089844,1.823910
94115.406250,60279.191406,102323.000000,100340.515625,80406.882813,81783.000000,10171.559570,15135.660156,1.823910
114777.601563,66525.156250,113071.000000,72335.757813,81226.054688,58363.000000,8762.040039,9482.669922,1.824717
123999.601563,66117.515625,122909.000000,81567.359375,88490.101563,60409.000000,539.279968,21147.480469,1.824717
136058.406250,66969.523438,133146.000000,144006.234375,93291.875000,101162.000000,2420.879883,21260.880859,1.824717
103956.601563,59793.753906,113940.000000,82109.156250,81630.859375,65920.000000,80.639999,211.410004,1.824717
183580.812500,76089.218750,158119.000000,174065.640625,107708.984375,105911.000000,646.799988,31389.929688,1.825525
134139.000000,66960.179688,131286.000000,140345.515625,91357.437500,100678.000000,618.239990,10314.540039,1.825525
111610.203125,60137.191406,121630.000000,107279.757813,83944.492188,83754.000000,8893.919922,18063.000000,1.825525
106932.007813,67374.554688,104014.000000,88208.398438,89968.343750,64254.000000,8877.959961,17282.160156,1.825525
167605.203125,68943.234375,159322.000000,149892.109375,96430.054688,101870.000000,7780.079590,6648.479980,1.826333
165955.203125,69044.585938,157522.000000,140019.593750,94603.234375,96998.000000,2538.479980,28358.910156,1.826333
94797.000000,60196.273438,103206.000000,89354.156250,81217.078125,72102.000000,1522.919922,19931.669922,1.826333
163482.609375,70910.890625,151091.000000,132921.593750,95313.203125,91395.000000,962.639954,9691.650391,1.826333
134984.406250,64753.785156,136615.000000,102399.359375,86668.695313,77431.000000,236.879990,36470.250000,1.826333
114999.601563,64579.988281,116702.000000,135227.390625,94510.632813,93770.000000,5836.319824,11648.610352,1.826333
102792.601563,64995.765625,103647.000000,75709.195313,85950.726563,57727.000000,5748.959961,7603.470215,1.826333
127179.601563,69897.960938,119243.000000,76749.960938,85636.929688,58735.000000,274.679993,1708.290039,1.826333
181202.406250,83542.851563,142146.000000,130169.757813,106308.171875,80246.000000,708.119995,1724.489990,1.826333
137260.812500,75822.023438,118640.000000,84096.593750,94417.781250,58372.000000,1806.000000,32255.009766,1.827140
191275.812500,69822.164063,179534.000000,205242.234375,96964.742188,138718.000000,943.319946,18032.220703,1.827140
119772.601563,63739.191406,123149.000000,164900.390625,88308.359375,122377.000000,12004.439453,22613.580078,1.827140
179949.000000,70853.484375,166444.000000,107160.476563,95946.078125,73196.000000,3204.599854,28494.179688,1.827140
142357.203125,70738.218750,131888.000000,95759.156250,94121.906250,66676.000000,15669.359375,27699.570313,1.827140
174771.000000,71558.023438,160063.000000,156346.671875,104236.421875,98299.000000,231.000000,13797.540039,1.827140
181520.406250,68073.140625,174755.000000,144758.875000,88402.531250,107315.000000,8709.120117,11595.150391,1.827948
141484.203125,68515.789063,135331.000000,138585.718750,92117.789063,98595.000000,3291.959961,12878.190430,1.827948
204284.406250,78095.460938,171431.000000,154941.359375,103455.265625,98151.000000,15922.199219,28721.791016,1.827948
115782.007813,62447.140625,121509.000000,75010.320313,81646.875000,60209.000000,1052.520020,16419.509766,1.827948
117601.203125,64321.343750,119822.000000,117130.437500,85540.804688,89738.000000,1499.399902,28463.400391,1.827948
123375.007813,62502.941406,129362.000000,111848.515625,84801.867188,86438.000000,619.919983,5763.959961,1.827948
210400.203125,77813.960938,177202.000000,158144.281250,103308.781250,100322.000000,259.559998,15770.700195,1.827948
137305.203125,72888.960938,123454.000000,124911.359375,96889.468750,84490.000000,4383.959961,5614.919922,1.827948
118482.601563,61454.312500,126352.000000,84590.515625,84917.039063,65284.000000,201.599991,13938.480469,1.827948
143707.203125,79058.437500,119127.000000,196563.359375,136105.484375,94647.000000,390.599976,11174.759766,1.827948
109593.601563,59929.628906,119846.000000,153515.875000,83690.890625,120214.000000,225.119995,636.659973,1.827948
109033.203125,64550.984375,110697.000000,115025.398438,86804.828125,86842.000000,121.799995,7520.850098,1.827948
146240.406250,65846.867188,145550.000000,109976.156250,94717.023438,76094.000000,11211.479492,29265.300781,1.828756
102864.601563,62390.300781,108051.000000,117737.757813,85317.859375,90439.000000,334.319977,4714.200195,1.828756
127119.007813,68954.453125,120817.000000,109255.437500,92060.179688,77777.000000,184.799988,4.860000,1.828756
145368.000000,62935.753906,151374.000000,101325.000000,84220.320313,78846.000000,646.799988,11702.070313,1.828756
127086.007813,69662.500000,119558.000000,115223.632813,88242.875000,85574.000000,1044.959961,12542.040039,1.828756
139130.406250,62666.152344,145502.000000,132974.515625,91495.890625,95246.000000,3308.760010,29636.279297,1.828756
159213.609375,66892.914063,155984.000000,176685.593750,94011.976563,123168.000000,215.879990,593.729980,1.828756
134121.000000,69901.976563,125744.000000,194096.281250,91137.867188,139572.000000,174.720001,609.929993,1.828756
130471.203125,65197.296875,131149.000000,98315.273438,89836.859375,71721.000000,3669.119873,28426.949219,1.828756
199518.609375,88183.359375,148278.000000,87584.273438,99620.312500,57618.000000,10865.399414,18377.279297,1.828756
169822.203125,69471.468750,160202.000000,113581.437500,97739.867188,76158.000000,2533.439941,26380.080078,1.828756
155134.812500,66950.148438,151858.000000,143550.109375,92520.796875,101682.000000,195.720001,4720.680176,1.828756
161877.609375,65692.898438,161491.000000,87348.234375,93722.132813,61079.000000,113.399994,153.899994,1.828756
130270.804688,64130.429688,133126.000000,136404.234375,87801.164063,101814.000000,635.039978,52185.871094,1.828756
134031.609375,67859.703125,129442.000000,86018.515625,89353.460938,63090.000000,7716.239746,14350.770508,1.829564
131939.406250,63783.753906,135564.000000,122916.359375,86331.789063,93308.000000,105.000000,468.989990,1.829564
134050.812500,64826.000000,135519.000000,109777.914063,90784.578125,79247.000000,133.559998,442.260010,1.829564
136615.203125,62923.628906,142287.000000,111282.359375,88719.406250,82203.000000,2480.520020,17532.449219,1.829564
138256.812500,62587.542969,144770.000000,173162.640625,82597.398438,137394.000000,3773.279785,18187.740234,1.829564
152809.203125,70510.273438,142029.000000,106629.593750,90056.023438,77597.000000,1825.319946,22138.109375,1.829564
119619.601563,62921.503906,124590.000000,73296.718750,81746.265625,58762.000000,5515.439941,36403.019531,1.829564
132471.000000,65558.265625,132426.000000,100907.515625,89213.976563,74126.000000,134.399994,967.950012,1.830371
125440.203125,66745.546875,123167.000000,107085.718750,89534.335938,78383.000000,312.479980,17563.230469,1.830371
152560.203125,81618.500000,122499.000000,90567.960938,106993.460938,55475.000000,232.679993,8687.250000,1.830371
109726.203125,64506.156250,111478.000000,109444.437500,86568.546875,82854.000000,3036.599854,21066.480469,1.830371
159753.609375,71522.062500,146383.000000,104379.234375,93045.296875,73519.000000,341.879974,16752.419922,1.830371
158048.406250,68083.789063,152134.000000,183651.718750,92501.960938,130114.000000,139.440002,5154.029785,1.830371
106692.007813,61937.335938,112891.000000,83952.960938,86060.617188,63931.000000,508.199982,10336.410156,1.830371
148633.812500,68612.140625,141970.000000,153873.718750,92102.179688,109490.000000,2525.040039,14175.000000,1.830371
118008.601563,67774.460938,114111.000000,80126.757813,84616.046875,62059.000000,6867.839844,19634.400391,1.831179
94012.804688,61697.375000,99862.000000,130964.398438,80847.031250,106162.000000,75.599998,78.570000,1.831179
114903.007813,61970.500000,121514.000000,75816.718750,86098.156250,57710.000000,115.919998,223.559998,1.831179
94475.406250,61606.750000,100501.000000,77550.476563,78853.554688,64453.000000,27.719999,-1.620000,1.831179
139791.000000,74042.421875,123731.000000,141892.796875,90752.015625,102467.000000,138.599991,306.179993,1.831179
124764.601563,64130.996094,127498.000000,94644.476563,88293.523438,70250.000000,136.919998,265.679993,1.831987
104050.804688,60942.269531,111894.000000,72802.796875,81361.546875,58642.000000,35.279999,182.250000,1.831987
163788.609375,78952.968750,135955.000000,120461.875000,101599.539063,77703.000000,226.799988,17549.460938,1.831987
165396.000000,70085.757813,154659.000000,133916.156250,97524.531250,89991.000000,10704.120117,21464.189453,1.831987
126753.007813,65989.460938,125882.000000,109850.156250,86965.039063,82782.000000,11577.719727,16019.370117,1.832795
132402.000000,86936.156250,99810.000000,119883.953125,109752.117188,71586.000000,419.159973,4701.240234,1.832795
159429.000000,69390.062500,150574.000000,113651.156250,86981.687500,85630.000000,159.599991,355.589996,1.832795
95967.000000,60283.851563,104328.000000,86305.796875,79574.234375,71080.000000,103.320000,9249.389648,1.832795
130537.203125,69027.203125,123935.000000,101937.359375,86824.882813,76943.000000,2784.599854,16409.791016,1.832795
133493.406250,66326.195313,131903.000000,131329.796875,91973.945313,93579.000000,3928.679932,2063.070068,1.832795
164826.609375,68210.429688,158364.000000,116134.195313,95509.617188,79688.000000,150.360001,371.790009,1.832795
118756.203125,62515.011719,124495.000000,113473.078125,87239.679688,85243.000000,503.159973,15419.160156,1.833603
141843.609375,65247.863281,142470.000000,128776.195313,90639.851563,93110.000000,204.119995,28534.679688,1.833603
150964.203125,67208.703125,147207.000000,149257.078125,93348.531250,104787.000000,1986.599976,26913.869141,1.833603
120481.804688,63344.531250,124650.000000,107712.359375,87056.179688,81086.000000,828.239990,22488.029297,1.833603
146058.000000,65413.738281,146331.000000,109984.554688,85826.265625,83983.000000,79.799995,117.449997,1.833603
190780.812500,73759.296875,169511.000000,176304.234375,103289.507813,111863.000000,3987.479980,48102.660156,1.833603
125985.601563,63923.324219,129164.000000,91140.000000,89148.523438,67000.000000,220.079987,25253.369141,1.833603
114474.007813,66571.742188,112693.000000,89667.476563,94432.625000,62229.000000,1029.839966,20736.000000,1.833603
110694.007813,64645.976563,112218.000000,70270.195313,85621.304688,53786.000000,334.319977,22884.119141,1.833603
117935.406250,66821.265625,115667.000000,96734.398438,90041.992188,70407.000000,592.199951,13698.719727,1.833603
122146.203125,61649.750000,129846.000000,114561.718750,82830.445313,90642.000000,72.239998,185.490005,1.834410
94480.203125,60090.007813,103043.000000,69871.195313,80653.085938,56775.000000,643.440002,2647.080078,1.835218
84798.000000,58711.339844,94655.000000,87695.156250,78518.890625,73195.000000,338.519989,2323.889893,1.835218
106892.406250,66379.554688,105534.000000,92897.273438,85188.984375,71466.000000,2796.359863,17879.939453,1.835218
122951.406250,61038.882813,132010.000000,98504.273438,82364.640625,78378.000000,117.599998,571.049988,1.835218
135651.609375,66334.851563,134018.000000,86743.437500,88512.718750,64226.000000,10180.799805,25367.580078,1.835218
138075.000000,70360.742188,128607.000000,94786.437500,97385.421875,63787.000000,820.679993,17031.060547,1.835218
165910.203125,68201.070313,159427.000000,154985.031250,94324.070313,107683.000000,809.759949,54990.898438,1.835218
138325.203125,65256.347656,138918.000000,93363.476563,91616.046875,66786.000000,5539.799805,34267.859375,1.836026
